-89.438,0.022,11.453,-9.811,0.008,0.154,-0.006,-0.003,0.001
-89.403,0.024,11.457,-9.797,-0.006,0.154,-0.007,-0.004,0.001
-89.471,0.035,11.462,-9.783,-0.020,0.001,-0.007,-0.005,0.001
-89.371,0.032,11.465,-9.754,-0.001,0.250,-0.005,-0.006,0.001
-89.486,0.043,11.469,-9.845,-0.020,-0.075,-0.006,0.004,0.002
-89.639,0.051,11.470,-9.821,-0.020,-0.176,-0.003,0.002,0.001
-89.590,0.037,11.471,-9.797,0.013,0.140,-0.001,-0.002,0.001
-89.386,0.022,11.474,-9.787,0.018,0.389,-0.004,-0.003,0.001
-89.520,0.033,11.477,-9.807,-0.020,-0.104,-0.005,0.001,0.001
-89.500,0.036,11.478,-9.816,-0.011,0.116,-0.003,0.002,0.001
-89.561,0.033,11.480,-9.802,-0.001,-0.008,-0.003,-0.002,0.001
-89.636,0.041,11.482,-9.821,-0.016,-0.042,-0.003,0.001,0.002
-89.589,0.031,11.484,-9.811,0.008,0.135,-0.003,0.001,0.001
-89.547,0.032,11.486,-9.807,-0.006,0.135,-0.004,0.001,0.001
-89.529,0.036,11.489,-9.802,-0.011,0.107,-0.004,0.001,0.001
-89.578,0.042,11.491,-9.807,-0.016,0.006,-0.004,-0.001,0.001
-89.504,0.048,11.494,-9.792,-0.016,0.188,-0.005,-0.002,0.001
-89.535,0.047,11.498,-9.816,-0.006,0.040,-0.005,-0.003,0.001
-89.489,0.042,11.501,-9.811,-0.001,0.154,-0.005,-0.003,-0.000
-89.471,0.026,11.504,-9.802,0.018,0.116,-0.005,-0.002,0.001
-89.421,0.016,11.509,-9.816,0.013,0.174,-0.008,0.003,0.001
-89.508,0.022,11.513,-9.831,-0.011,-0.037,-0.007,0.002,0.001
-89.501,0.018,11.518,-9.811,0.004,0.097,-0.007,-0.002,0.001
-89.414,0.014,11.523,-9.811,0.004,0.236,-0.008,-0.003,0.001
-89.317,0.014,11.530,-9.807,-0.001,0.255,-0.011,-0.003,0.001
-89.230,0.013,11.538,-9.807,-0.001,0.255,-0.013,-0.003,0.001
-89.173,0.016,11.547,-9.792,-0.006,0.221,-0.015,-0.002,0.001
-89.117,0.006,11.558,-9.792,0.013,0.226,-0.017,0.002,0.001
-89.112,-0.002,11.568,-9.811,0.013,0.159,-0.019,0.001,0.002
-89.123,-0.003,11.581,-9.811,0.004,0.135,-0.020,-0.001,0.001
-89.042,-0.005,11.594,-9.807,0.004,0.279,-0.021,-0.002,0.002
